
	
 	prefix             Brute           Binary          Trie
	
         	       	  4.17823e-04     4.31137e-04     1.98413e-05
 	n_1            	  1.60830e-03     3.32728e-05     2.03090e-05
 	n_4            	  1.59353e-03     3.39243e-05     2.38352e-05
 	notarealword_7     1.27945e-03     1.26583e-06     1.76333e-07
 	notarealword_1     1.27367e-03     1.67758e-06     2.32791e-07
 	nenk           	  2.67121e-03     2.42392e-06     1.59283e-06
 	n_7            	  1.61230e-03     3.42872e-05     1.77603e-05
 	notarealword_4 	  1.31299e-03     1.09408e-06     2.25792e-07
 	notarealword       1.90113e-03     3.40525e-06     2.53083e-07
 	n                  1.55581e-03     1.67059e-05     4.46088e-06
 	nenk_1             1.59471e-03     4.00125e-07     9.65209e-07
 	_1                 1.82258e-03     8.75389e-04     1.32485e-05
 	_4                 1.80653e-03     8.49187e-04     1.87377e-05
 	ne                 1.58078e-03     1.42417e-06     2.29179e-06
 	_7                 1.80240e-03     8.50706e-04     2.32385e-05
 	ne_1               1.60258e-03     2.02629e-06     2.13371e-06
 	nenk_7             1.58861e-03     4.00584e-07     2.81375e-07
 	ne_7               1.59536e-03     2.83508e-06     7.68046e-06
 	nenk_4             1.59247e-03     4.21542e-07     5.41667e-07
 	ne_4               1.59864e-03     2.59758e-06     4.31792e-06
 	                   4.17823e-04     4.31137e-04     1.98413e-05
 	n_1                1.60830e-03     3.32728e-05     2.03090e-05
 	n_4                1.59353e-03     3.39243e-05     2.38352e-05
 	notarealword_7     1.27945e-03     1.26583e-06     1.76333e-07
 	notarealword_1     1.27367e-03     1.67758e-06     2.32791e-07
 	nenk               2.67121e-03     2.42392e-06     1.59283e-06
 	n_7                1.61230e-03     3.42872e-05     1.77603e-05
 	notarealword_4     1.31299e-03     1.09408e-06     2.25792e-07
 	notarealword       1.90113e-03     3.40525e-06     2.53083e-07
 	n                  1.55581e-03     1.67059e-05     4.46088e-06
 	nenk_1             1.59471e-03     4.00125e-07     9.65209e-07
 	_1                 1.82258e-03     8.75389e-04     1.32485e-05
 	_4                 1.80653e-03     8.49187e-04     1.87377e-05
 	ne                 1.58078e-03     1.42417e-06     2.29179e-06
 	_7                 1.80240e-03     8.50706e-04     2.32385e-05
 	ne_1               1.60258e-03     2.02629e-06     2.13371e-06
 	nenk_7             1.58861e-03     4.00584e-07     2.81375e-07
 	ne_7               1.59536e-03     2.83508e-06     7.68046e-06
 	nenk_4             1.59247e-03     4.21542e-07     5.41667e-07
 	ne_4               1.59864e-03     2.59758e-06     4.31792e-06
                    	  4.17823e-04     4.31137e-04     1.98413e-05
 	n_1                1.60830e-03     3.32728e-05     2.03090e-05
 	n_4                1.59353e-03     3.39243e-05     2.38352e-05
 	notarealword_7     1.27945e-03     1.26583e-06     1.76333e-07
 	notarealword_1     1.27367e-03     1.67758e-06     2.32791e-07
 	nenk               2.67121e-03     2.42392e-06     1.59283e-06
 	n_7                1.61230e-03     3.42872e-05     1.77603e-05
 	notarealword_4     1.31299e-03     1.09408e-06     2.25792e-07
 	notarealword       1.90113e-03     3.40525e-06     2.53083e-07
 	n                  1.55581e-03     1.67059e-05     4.46088e-06
 	nenk_1             1.59471e-03     4.00125e-07     9.65209e-07
 	_1                 1.82258e-03     8.75389e-04     1.32485e-05
 	_4                 1.80653e-03     8.49187e-04     1.87377e-05
 	ne                 1.58078e-03     1.42417e-06     2.29179e-06
 	_7                 1.80240e-03     8.50706e-04     2.32385e-0z5
 	ne_1               1.60258e-03     2.02629e-06     2.13371e-06
 	nenk_7             1.58861e-03     4.00584e-07     2.81375e-07
 	ne_7               1.59536e-03     2.83508e-06     7.68046e-06
 	nenk_4             1.59247e-03     4.21542e-07     5.41667e-07
 	ne_4               1.59864e-03     2.59758e-06     4.31792e-06
 
