
 prefix                Brute           Binary          Trie

                    2.61208e-04     2.01324e-04     1.31542e-05
 a                  2.44507e-04     1.64552e-05     4.36421e-06
 notarealword_7     6.33390e-04     8.58125e-07     1.09334e-07
 ae                 2.66374e-04     1.64004e-06     3.18358e-06
 notarealword_1     6.36564e-04     1.25213e-06     2.15791e-07
 notarealword_4     6.35907e-04     8.46500e-07     1.11500e-07
 notarealword       9.53979e-04     3.39367e-06     9.25830e-08
 aenk               1.54558e-03     2.52179e-06     1.77883e-06
 aenk_7             7.77916e-04     4.29041e-07     3.56625e-07
 ae_7               7.70956e-04     3.10029e-06     1.66465e-05
 _1                 9.55387e-04     4.54399e-04     1.03227e-05
 a_1                7.94380e-04     3.43293e-05     2.51375e-06
 ae_4               7.65968e-04     2.51883e-06     5.68033e-06
 _4                 9.45778e-04     4.18670e-04     2.84475e-05
 a_4                8.07149e-04     3.49411e-05     9.06700e-06
 _7                 9.39469e-04     4.22111e-04     2.12720e-05
 a_7                7.99184e-04     3.50483e-05     7.69824e-05
 aenk_1             7.82414e-04     4.30292e-07     1.23158e-06
 ae_1               7.77154e-04     2.01813e-06     2.21821e-06
 aenk_4             7.66436e-04     4.33458e-07     2.66875e-07
                    2.61208e-04     2.01324e-04     1.31542e-05
 a                  2.44507e-04     1.64552e-05     4.36421e-06
 notarealword_7     6.33390e-04     8.58125e-07     1.09334e-07
 ae                 2.66374e-04     1.64004e-06     3.18358e-06
 notarealword_1     6.36564e-04     1.25213e-06     2.15791e-07
 notarealword_4     6.35907e-04     8.46500e-07     1.11500e-07
 notarealword       9.53979e-04     3.39367e-06     9.25830e-08
 aenk               1.54558e-03     2.52179e-06     1.77883e-06
 aenk_7             7.77916e-04     4.29041e-07     3.56625e-07
 ae_7               7.70956e-04     3.10029e-06     1.66465e-05
 _1                 9.55387e-04     4.54399e-04     1.03227e-05
 a_1                7.94380e-04     3.43293e-05     2.51375e-06
 ae_4               7.65968e-04     2.51883e-06     5.68033e-06
 _4                 9.45778e-04     4.18670e-04     2.84475e-05
 a_4                8.07149e-04     3.49411e-05     9.06700e-06
 _7                 9.39469e-04     4.22111e-04     2.12720e-05
 a_7                7.99184e-04     3.50483e-05     7.69824e-05
 aenk_1             7.82414e-04     4.30292e-07     1.23158e-06
 ae_1               7.77154e-04     2.01813e-06     2.21821e-06
 aenk_4             7.66436e-04     4.33458e-07     2.66875e-07
                    2.61208e-04     2.01324e-04     1.31542e-05
 a                  2.44507e-04     1.64552e-05     4.36421e-06
 notarealword_7     6.33390e-04     8.58125e-07     1.09334e-07
 ae                 2.66374e-04     1.64004e-06     3.18358e-06
 notarealword_1     6.36564e-04     1.25213e-06     2.15791e-07
 notarealword_4     6.35907e-04     8.46500e-07     1.11500e-07
 notarealword       9.53979e-04     3.39367e-06     9.25830e-08
 aenk               1.54558e-03     2.52179e-06     1.77883e-06
 aenk_7             7.77916e-04     4.29041e-07     3.56625e-07
 ae_7               7.70956e-04     3.10029e-06     1.66465e-05
 _1                 9.55387e-04     4.54399e-04     1.03227e-05
 a_1                7.94380e-04     3.43293e-05     2.51375e-06
 ae_4               7.65968e-04     2.51883e-06     5.68033e-06
 _4                 9.45778e-04     4.18670e-04     2.84475e-05
 a_4                8.07149e-04     3.49411e-05     9.06700e-06
 _7                 9.39469e-04     4.22111e-04     2.12720e-05
 a_7                7.99184e-04     3.50483e-05     7.69824e-05
 aenk_1             7.82414e-04     4.30292e-07     1.23158e-06
 ae_1               7.77154e-04     2.01813e-06     2.21821e-06
 aenk_4             7.66436e-04     4.33458e-07     2.66875e-07
 
  ----jGRASP wedge: exit code for process is 0.
  ----jGRASP: operation complete.
 
